TICKER	COMPANY NAME 
SGER	Sumber Global Energy Tbk.
TRJA	Transkon Jaya Tbk.
PNGO	Pinago Utama Tbk.
SCNP	Selaras Citra Nusantara Perkas
BBSI	Krom Bank Indonesia Tbk.
KMDS	Kurniamitra Duta Sentosa Tbk.
PURI	Puri Global Sukses Tbk.
SOHO	Soho Global Health Tbk.
HOMI	Grand House Mulia Tbk.
ROCK	Rockfields Properti Indonesia 
ENZO	Morenzo Abadi Perkasa Tbk.
PLAN	Planet Properindo Jaya Tbk.
PTDU	Djasa Ubersakti Tbk.
ATAP	Trimitra Prawara Goldland Tbk.
VICI	Victoria Care Indonesia Tbk.
PMMP	Panca Mitra Multiperdana Tbk.
WIFI	Solusi Sinergi Digital Tbk.
FAPA	FAP Agri Tbk.
DCII	DCI Indonesia Tbk.
KETR	Ketrosden Triasmitra Tbk.
DGNS	Diagnos Laboratorium Utama Tbk
UFOE	Damai Sejahtera Abadi Tbk.
BANK	Bank Aladin Syariah Tbk.
WMUU	Widodo Makmur Unggas Tbk.
EDGE	Indointernet Tbk.
UNIQ	Ulima Nitra Tbk.
BEBS	Berkah Beton Sadaya Tbk.
SNLK	Sunter Lakeside Hotel Tbk.
ZYRX	Zyrexindo Mandiri Buana Tbk.
LFLO	Imago Mulia Persada Tbk.
FIMP	Fimperkasa Utama Tbk.
TAPG	Triputra Agro Persada Tbk.
NPGF	Nusa Palapa Gemilang Tbk.
LUCY	Lima Dua Lima Tiga Tbk.
ADCP	Adhi Commuter Properti Tbk.
HOPE	Harapan Duta Pertiwi Tbk.
MGLV	Panca Anugrah Wisesa Tbk.
TRUE	Triniti Dinamik Tbk.
LABA	Green Power Group Tbk.
ARCI	Archi Indonesia Tbk.
IPAC	Era Graharealty Tbk.
MASB	Bank Multiarta Sentosa Tbk.
BMHS	Bundamedik Tbk.
FLMC	Falmaco Nonwoven Industri Tbk.
NICL	PAM Mineral Tbk.
UVCR	Trimegah Karya Pratama Tbk.
BUKA	Bukalapak.com Tbk.
HAIS	Hasnur Internasional Shipping 
OILS	Indo Oil Perkasa Tbk.
GPSO	Geoprima Solusi Tbk.
MCOL	Prima Andalan Mandiri Tbk.
RSGK	Kedoya Adyaraya Tbk.
RUNS	Global Sukses Solusi Tbk.
SBMA	Surya Biru Murni Acetylene Tbk
CMNT	Cemindo Gemilang Tbk.
GTSI	GTS Internasional Tbk.
IDEA	Idea Indonesia Akademi Tbk.
KUAS	Ace Oldfields Tbk.
BOBA	Formosa Ingredient Factory Tbk
MTEL	Dayamitra Telekomunikasi Tbk.
DEPO	Caturkarda Depo Bangunan Tbk.
BINO	Perma Plasindo Tbk.
CMRY	Cisarua Mountain Dairy Tbk.
WGSH	Wira Global Solusi Tbk.
TAYS	Jaya Swarasa Agung Tbk.
WMPP	Widodo Makmur Perkasa Tbk.
RMKE	RMK Energy Tbk.
OBMD	OBM Drilchem Tbk.
AVIA	Avia Avian Tbk.
IPPE	Indo Pureco Pratama Tbk.
NASI	Wahana Inti Makmur Tbk.
BSML	Bintang Samudera Mandiri Lines
DRMA	Dharma Polimetal Tbk.
ADMR	Adaro Minerals Indonesia Tbk.
SEMA	Semacom Integrated Tbk.
ASLC	Autopedia Sukses Lestari Tbk.
NETV	MDTV Media Technologies Tbk.
BAUT	Mitra Angkasa Sejahtera Tbk.
ENAK	Champ Resto Indonesia Tbk.
NTBK	Nusatama Berkah Tbk.
SMKM	Sumber Mas Konstruksi Tbk.
STAA	Sumber Tani Agung Resources Tb
NANO	Nanotech Indonesia Global Tbk.
BIKE	Sepeda Bersama Indonesia Tbk.
WIRG	WIR ASIA Tbk.
SICO	Sigma Energy Compressindo Tbk.
GOTO	GoTo Gojek Tokopedia Tbk.
TLDN	Teladan Prima Agro Tbk.
MTMH	Murni Sadar Tbk.
WINR	Winner Nusantara Jaya Tbk.
IBOS	Indo Boga Sukses Tbk.
OLIV	Oscar Mitra Sukses Sejahtera T
ASHA	Cilacap Samudera Fishing Indus
SWID	Saraswanti Indoland Developmen
TRGU	Cerestar Indonesia Tbk.
ARKO	Arkora Hydro Tbk.
CHEM	Chemstar Indonesia Tbk.
DEWI	Dewi Shri Farmindo Tbk.
AXIO	Tera Data Indonusa Tbk.
KRYA	Bangun Karya Perkasa Jaya Tbk.
HATM	Habco Trans Maritima Tbk.
RCCC	Utama Radar Cahaya Tbk.
GULA	Aman Agrindo Tbk.
JARR	Jhonlin Agro Raya Tbk.
AMMS	Agung Menjangan Mas Tbk.
BUAH	Segar Kumala Indonesia Tbk.
CRAB	Toba Surimi Industries Tbk.
MEDS	Hetzer Medical Indonesia Tbk.
COAL	Black Diamond Resources Tbk.
PRAY	Famon Awal Bros Sedaya Tbk.
CBUT	Citra Borneo Utama Tbk.
BELI	Global Digital Niaga Tbk.
MKTR	Menthobi Karyatama Raya Tbk.
OMED	Jayamas Medica Industri Tbk.
BSBK	Wulandari Bangun Laksana Tbk.
PDPP	Primadaya Plastisindo Tbk.
KDTN	Puri Sentul Permai Tbk.
ZATA	Bersama Zatta Jaya Tbk.
NINE	Techno9 Indonesia Tbk.
MMIX	Multi Medika Internasional Tbk
PADA	Personel Alih Daya Tbk.
ISAP	Isra Presisi Indonesia Tbk.
VTNY	Venteny Fortuna International 
SOUL	Mitra Tirta Buwana Tbk.
ELIT	Data Sinergitama Jaya Tbk.
BEER	Jobubu Jarum Minahasa Tbk.
CBPE	Citra Buana Prasida Tbk.
SUNI	Sunindo Pratama Tbk.
CBRE	Cakra Buana Resources Energi T
WINE	Hatten Bali Tbk.
BMBL	Lavender Bina Cendikia Tbk.
PEVE	Penta Valent Tbk.
LAJU	Jasa Berdikari Logistics Tbk.
FWCT	Wijaya Cahaya Timber Tbk.
NAYZ	Hassana Boga Sejahtera Tbk.
IRSX	Aviana Sinar Abadi Tbk.
PACK	Abadi Nusantara Hijau Investam
VAST	Vastland Indonesia Tbk.
CHIP	Pelita Teknologi Global Tbk.
HALO	Haloni Jane Tbk.
KING	Hoffmen Cleanindo Tbk.
PGEO	Pertamina Geothermal Energy Tb
FUTR	Futura Energi Global Tbk.
HILL	Hillcon Tbk.
BDKR	Berdikari Pondasi Perkasa Tbk.
PTMP	Mitra Pack Tbk.
SAGE	Saptausaha Gemilangindah Tbk.
TRON	Teknologi Karya Digital Nusa T
CUAN	Petrindo Jaya Kreasi Tbk.
NSSS	Nusantara Sawit Sejahtera Tbk.
GTRA	Grahaprima Suksesmandiri Tbk.
HAJJ	Arsy Buana Travelindo Tbk.
PIPA	Multi Makmur Lemindo Tbk.
NCKL	Trimegah Bangun Persada Tbk.
MENN	Menn Teknologi Indonesia Tbk.
AWAN	Era Digital Media Tbk.
MBMA	Merdeka Battery Materials Tbk.
RAAM	Tripar Multivision Plus Tbk.
DOOH	Era Media Sejahtera Tbk.
JATI	Informasi Teknologi Indonesia 
TYRE	King Tire Indonesia Tbk.
MPXL	MPX Logistics International Tb
SMIL	Sarana Mitra Luas Tbk.
KLAS	Pelayaran Kurnia Lautan Semest
MAXI	Maxindo Karya Anugerah Tbk.
VKTR	VKTR Teknologi Mobilitas Tbk.
RELF	Graha Mitra Asia Tbk.
AMMN	Amman Mineral Internasional Tb
CRSN	Carsurin Tbk.
GRPM	Graha Prima Mentari Tbk.
WIDI	Widiant Jaya Krenindo Tbk.
TGUK	Platinum Wahab Nusantara Tbk.
INET	Sinergi Inti Andalan Prima Tbk
MAHA	Mandiri Herindo Adiperkasa Tbk
RMKO	Royaltama Mulia Kontraktorindo
CNMA	Nusantara Sejahtera Raya Tbk.
FOLK	Multi Garam Utama Tbk.
HBAT	Minahasa Membangun Hebat Tbk.
GRIA	Ingria Pratama Capitalindo Tbk
PPRI	Paperocks Indonesia Tbk.
ERAL	Sinar Eka Selaras Tbk.
CYBR	ITSEC Asia Tbk.
MUTU	Mutuagung Lestari Tbk.
LMAX	Lupromax Pelumas Indonesia Tbk
HUMI	Humpuss Maritim Internasional 
MSIE	Multisarana Intan Eduka Tbk.
RSCH	Charlie Hospital Semarang Tbk.
BABY	Multitrend Indo Tbk.
AEGS	Anugerah Spareparts Sejahtera 
IOTF	Sumber Sinergi Makmur Tbk.
KOCI	Kokoh Exa Nusantara Tbk.
PTPS	Pulau Subur Tbk.
BREN	Barito Renewables Energy Tbk.
STRK	Lovina Beach Brewery Tbk.
KOKA	Koka Indonesia Tbk.
LOPI	Logisticsplus International Tb
UDNG	Agro Bahari Nusantara Tbk.
RGAS	Kian Santang Muliatama Tbk.
MSTI	Mastersystem Infotama Tbk.
IKPM	Ikapharmindo Putramas Tbk.
AYAM	Janu Putra Sejahtera Tbk.
SURI	Maja Agung Latexindo Tbk.
ASLI	Asri Karya Lestari Tbk.
CGAS	Citra Nusantara Gemilang Tbk.
NICE	Adhi Kartiko Pratama Tbk.
MSJA	Multi Spunindo Jaya Tbk.
SMLE	Sinergi Multi Lestarindo Tbk.
ACRO	Samcro Hyosung Adilestari Tbk.
MANG	Manggung Polahraya Tbk.
GRPH	Griptha Putra Persada Tbk.
SMGA	Sumber Mineral Global Abadi Tb
UNTD	Terang Dunia Internusa Tbk.
TOSK	Topindo Solusi Komunika Tbk.
MPIX	Mitra Pedagang Indonesia Tbk.
ALII	Ancara Logistics Indonesia Tbk
MKAP	Multikarya Asia Pasifik Raya T
MEJA	Harta Djaya Karya Tbk.
LIVE	Homeco Victoria Makmur Tbk.
HYGN	Ecocare Indo Pasifik Tbk.
BAIK	Bersama Mencapai Puncak Tbk.
VISI	Satu Visi Putra Tbk.
AREA	Dunia Virtual Online Tbk.
MHKI	Multi Hanna Kreasindo Tbk.
ATLA	Atlantis Subsea Indonesia Tbk.
DATA	Remala Abadi Tbk.
SOLA	Xolare RCR Energy Tbk.
BATR	Benteng Api Technic Tbk.
SPRE	Soraya Berjaya Indonesia Tbk.
PART	Cipta Perdana Lancar Tbk.
GOLF	Intra Golflink Resorts Tbk.
ISEA	Indo American Seafoods Tbk.
BLES	Superior Prima Sukses Tbk.
GUNA	Gunanusa Eramandiri Tbk.
LABS	UBC Medical Indonesia Tbk.
DOSS	Global Sukses Digital Tbk.
NEST	Esta Indonesia Tbk.
PTMR	Master Print Tbk.
VERN	Verona Indah Pictures Tbk.
DAAZ	Daaz Bara Lestari Tbk.
BOAT	Newport Marine Services Tbk.
NAIK	Adiwarna Anugerah Abadi Tbk.
AADI	Adaro Andalan Indonesia Tbk.
MDIY	Daya Intiguna Yasa Tbk.
KSIX	Kentanix Supra International T
RATU	Raharja Energi Cepu Tbk.
YOII	Asuransi Digital Bersama Tbk.
HGII	Hero Global Investment Tbk.
BRRC	Raja Roti Cemerlang Tbk.
DGWG	Delta Giri Wacana Tbk.
BBLD	Buana Finance Tbk.
BBMD	Bank Mestika Dharma Tbk.
BBNI	Bank Negara Indonesia (Persero
BBRI	Bank Rakyat Indonesia (Persero
BBRM	Pelayaran Nasional Bina Buana 
BBTN	Bank Tabungan Negara (Persero)
BBYB	Bank Neo Commerce Tbk.
CBDK	Bangun Kosambi Sukses Tbk.
OBAT	Brigit Biofarmaka Teknologi Tb
MINE	Sinar Terang Mandiri Tbk.
KAQI	Jantra Grupo Indonesia Tbk.
YUPI	Yupi Indo Jelly Gum Tbk.
FORE	Fore Kopi Indonesia Tbk.
MDLA	Medela Potentia Tbk.
DKHH	Cipta Sarana Medika Tbk.
SOSS	Shield On Service Tbk.
DEAL	Dewata Freightinternational Tb
POLA	Pool Advista Finance Tbk.
DIVA	Distribusi Voucher Nusantara T
LUCK	Sentral Mitra Informatika Tbk.
URBN	Urban Jakarta Propertindo Tbk.
SOTS	Satria Mega Kencana Tbk.
AMAN	Makmur Berkah Amanda Tbk.
CARE	Metro Healthcare Indonesia Tbk
SAMF	Saraswanti Anugerah Makmur Tbk
SBAT	Sejahtera Bintang Abadi Textil
KBAG	Karya Bersama Anugerah Tbk.
CBMF	Cahaya Bintang Medan Tbk.
RONY	Aesler Grup Internasional Tbk.
RAFI	Sari Kreasi Boga Tbk.
KKES	Kusuma Kemindo Sentosa Tbk.
ELPI	Pelayaran Nasional Ekalya Purn
EURO	Estee Gold Feet Tbk.
KLIN	Klinko Karya Imaji Tbk.
TOOL	Rohartindo Nusantara Luas Tbk.
